"page_id","title","url","page_type","followers","likes"
"100064732087156","Association of Indonesia Alumni in Myanmar | Facebook","https://www.facebook.com/people/Association-of-Indonesia-Alumni-in-Myanmar/100064732087156/","Page · Community organisation","972 followers","966 likes"
"100078653176368","𝐉𝐃 : 𝟎𝟐 𝐌𝐲𝐚𝐧𝐦𝐚𝐫 𝐅𝐚𝐧𝐩𝐚𝐠𝐞 | Facebook","https://www.facebook.com/people/%F0%9D%90%89%F0%9D%90%83-%F0%9D%9F%8E%F0%9D%9F%90-%F0%9D%90%8C%F0%9D%90%B2%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%A6%F0%9D%90%9A%F0%9D%90%AB-%F0%9D%90%85%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%A9%F0%9D%90%9A%F0%9D%90%A0%F0%9D%90%9E/100078653176368/","Page · Fan Page","3.1K followers","2.9K likes"
"100063553705399","Innovo Logistics Myanmar | Yangon | Facebook","https://www.facebook.com/people/Innovo-Logistics-Myanmar/100063553705399/","Page · Cargo and freight company","3.7K followers","3.6K likes"
"100063713305999","Thang Family Myanmar Grocery Store | Indianapolis IN | Facebook","https://www.facebook.com/people/Thang-Family-Myanmar-Grocery-Store/100063713305999/","Page · Shopping & retail","1K followers","1K likes"
"100069270973280","Builders & Powerex Myanmar | Facebook","https://www.facebook.com/people/Builders-Powerex-Myanmar/100069270973280/","Page · Building materials","655 followers","643 likes"
"100063964988769","ASL Logistics Myanmar Private Limited | Yangon | Facebook","https://www.facebook.com/people/ASL-Logistics-Myanmar-Private-Limited/100063964988769/","Page · Cargo and freight company","2.6K followers","2.4K likes"
"100063553705399","Innovo Logistics Myanmar | Yangon | Facebook","https://www.facebook.com/people/Innovo-Logistics-Myanmar/100063553705399/","Page · Cargo and freight company","3.7K followers","3.6K likes"
"61554196646765","The Amazing Food Hall - at Amazing Myanmar Asian Cuisine | Kentwood MI | Facebook","https://www.facebook.com/people/The-Amazing-Food-Hall-at-Amazing-Myanmar-Asian-Cuisine/61554196646765/","Page · Performance and event venue","77 followers","75 likes"
"100063694794673","YPTT Myanmar Co.;Ltd | Facebook","https://www.facebook.com/people/YPTT-Myanmar-CoLtd/100063694794673/","Page · Interest","7.3K followers","6.8K likes"
"100070662242946","Annam Group Myanmar | Facebook","https://www.facebook.com/people/Annam-Group-Myanmar/100070662242946/","Page · Company","1.4K followers","1.4K likes"
"100063694794673","YPTT Myanmar Co.;Ltd | Facebook","https://www.facebook.com/people/YPTT-Myanmar-CoLtd/100063694794673/","Page · Interest","7.3K followers","6.8K likes"
"100068762605236","Media Intelligence Myanmar - MIM | Yangon | Facebook","https://www.facebook.com/people/Media-Intelligence-Myanmar-MIM/100068762605236/","Page · Media agency","127 followers","112 likes"
"100071608187601","Cesvi - Myanmar | Yangon | Facebook","https://www.facebook.com/people/Cesvi-Myanmar/100071608187601/","Page · Non-governmental organisation (NGO)","7.7K followers","7.1K likes"
"61573998990190","Cartooning for Myanmar | Facebook","https://www.facebook.com/people/Cartooning-for-Myanmar/61573998990190/","Page · Visual arts","613 followers","200 likes"
"100064327137310","Myanmar Chit Music Video | Facebook","https://www.facebook.com/people/Myanmar-Chit-Music-Video/100064327137310/","Page · Film","40K followers","3.6K likes"
"100063764479880","MyRate Myanmar | Facebook","https://www.facebook.com/people/MyRate-Myanmar/100063764479880/","Page · App Page","1.5K followers","1.5K likes"
"100079467399683","Lutheran Church of Myanmar | Yangon | Facebook","https://www.facebook.com/people/Lutheran-Church-of-Myanmar/100079467399683/","Page · Lutheran Church","369 followers","343 likes"
"100063969588487","CMA Ships Myanmar | Facebook","https://www.facebook.com/people/CMA-Ships-Myanmar/100063969588487/","Page · Cargo and freight company","21K followers",
"100063839780313","VICTOR Badminton Myanmar | Yangon | Facebook","https://www.facebook.com/people/VICTOR-Badminton-Myanmar/100063839780313/","Page · Retail company","16K followers","13K likes"
"100045935036077","Torrent Pharmaceuticals Limited - Myanmar | Yangon | Facebook","https://www.facebook.com/people/Torrent-Pharmaceuticals-Limited-Myanmar/100045935036077/","Page · Vitamin supplement shop","3K followers",
"100067180856898","Myanmar Engineering LTD | Port Moresby | Facebook","https://www.facebook.com/people/Myanmar-Engineering-LTD/100067180856898/","Page · Vehicle repair shop","182 followers","149 likes"
"100068489577221","WEC Myanmar | Yangon | Facebook","https://www.facebook.com/people/WEC-Myanmar/100068489577221/","Page · Religious organisation","3 followers","2 likes"
"100064153599520","Civil Engineering Myanmar-CEM | Mandalay | Facebook","https://www.facebook.com/people/Civil-Engineering-Myanmar-CEM/100064153599520/","Page · Engineering service","952 followers","930 likes"
"100064871475104","GED Myanmar Education Centre | Facebook","https://www.facebook.com/people/GED-Myanmar-Education-Centre/100064871475104/","Page · Educational consultant","16K followers","13K likes"
"100083368909865","Myanmar Music Page | Facebook","https://www.facebook.com/people/Myanmar-Music-Page/100083368909865/","Page · Music video","42 followers","40 likes"
"100063634813485","Luo Yun Xi 罗云熙 leo Myanmar Fan Club | Facebook","https://www.facebook.com/people/Luo-Yun-Xi-%E7%BD%97%E4%BA%91%E7%86%99-leo-Myanmar-Fan-Club/100063634813485/","Page · Actor","5.6K followers",
